date,bitcoin,btc
2017-05-08 21:44:00,50,2
2017-05-08 21:52:00,53,11
2017-05-08 22:00:00,81,0
2017-05-08 22:08:00,47,2
2017-05-08 22:16:00,59,5
2017-05-08 22:24:00,37,0
2017-05-08 22:32:00,49,2
2017-05-08 22:40:00,50,7
2017-05-08 22:48:00,41,0
2017-05-08 22:56:00,64,2
2017-05-08 23:04:00,37,12
2017-05-08 23:12:00,52,2
2017-05-08 23:20:00,55,5
2017-05-08 23:28:00,45,5
2017-05-08 23:36:00,66,5
2017-05-08 23:44:00,43,3
2017-05-08 23:52:00,76,8
2017-05-09 00:00:00,71,5
2017-05-09 00:00:00,68,5
2017-05-09 00:08:00,58,2
2017-05-09 00:16:00,72,5
2017-05-09 00:24:00,41,5
2017-05-09 00:32:00,50,5
2017-05-09 00:40:00,62,0
2017-05-09 00:48:00,62,2
2017-05-09 00:56:00,66,0
2017-05-09 01:04:00,64,0
2017-05-09 01:12:00,53,2
2017-05-09 01:20:00,32,0
2017-05-09 01:28:00,55,2
2017-05-09 01:36:00,53,2
2017-05-09 01:44:00,44,5
2017-05-09 01:52:00,59,0
2017-05-09 02:00:00,48,2
2017-05-09 02:08:00,43,5
2017-05-09 02:16:00,58,5
2017-05-09 02:24:00,61,5
2017-05-09 02:32:00,69,7
2017-05-09 02:40:00,47,2
2017-05-09 02:48:00,65,8
2017-05-09 02:56:00,53,3
2017-05-09 03:04:00,86,8
2017-05-09 03:12:00,76,5
2017-05-09 03:20:00,79,5
2017-05-09 03:28:00,54,5
2017-05-09 03:36:00,62,3
2017-05-09 03:44:00,60,10
2017-05-09 03:52:00,50,8
2017-05-09 04:00:00,45,3
2017-05-09 04:08:00,79,13
2017-05-09 04:16:00,66,5
2017-05-09 04:24:00,58,3
2017-05-09 04:32:00,68,5
2017-05-09 04:40:00,42,3
2017-05-09 04:48:00,75,3
2017-05-09 04:56:00,62,3
2017-05-09 05:04:00,71,5
2017-05-09 05:12:00,45,5
2017-05-09 05:20:00,62,5
2017-05-09 05:28:00,54,7
2017-05-09 05:36:00,66,2
2017-05-09 05:44:00,51,5
2017-05-09 05:52:00,55,5
2017-05-09 06:00:00,51,0
2017-05-09 06:08:00,50,2
2017-05-09 06:16:00,67,9
2017-05-09 06:24:00,38,7
2017-05-09 06:32:00,31,4
2017-05-09 06:40:00,71,4
2017-05-09 06:48:00,64,4
2017-05-09 06:56:00,57,8
2017-05-09 07:04:00,50,4
2017-05-09 07:12:00,41,2
2017-05-09 07:20:00,55,0
2017-05-09 07:28:00,39,2
2017-05-09 07:36:00,55,6
2017-05-09 07:44:00,71,14
2017-05-09 07:52:00,50,6
2017-05-09 08:00:00,46,8
2017-05-09 08:08:00,36,8
2017-05-09 08:16:00,63,4
2017-05-09 08:24:00,57,10
2017-05-09 08:32:00,53,2
2017-05-09 08:40:00,43,2
2017-05-09 08:48:00,52,6
2017-05-09 08:56:00,79,0
2017-05-09 09:04:00,61,8
2017-05-09 09:12:00,42,4
2017-05-09 09:20:00,69,9
2017-05-09 09:28:00,68,2
2017-05-09 09:36:00,62,4
2017-05-09 09:44:00,65,6
2017-05-09 09:52:00,43,6
2017-05-09 10:00:00,56,0
2017-05-09 10:08:00,62,6
2017-05-09 10:16:00,60,4
2017-05-09 10:24:00,60,4
2017-05-09 10:32:00,62,4
2017-05-09 10:40:00,60,4
2017-05-09 10:48:00,71,7
2017-05-09 10:56:00,72,7
2017-05-09 11:04:00,68,5
2017-05-09 11:12:00,73,2
2017-05-09 11:20:00,70,3
2017-05-09 11:28:00,85,6
2017-05-09 11:36:00,67,10
2017-05-09 11:44:00,69,5
2017-05-09 11:52:00,68,2
2017-05-09 12:00:00,62,6
2017-05-09 12:08:00,67,6
2017-05-09 12:16:00,75,3
2017-05-09 12:24:00,80,3
2017-05-09 12:32:00,95,1
2017-05-09 12:40:00,79,3
2017-05-09 12:48:00,98,3
2017-05-09 12:56:00,58,6
2017-05-09 13:04:00,81,4
2017-05-09 13:12:00,73,6
2017-05-09 13:20:00,45,5
2017-05-09 13:28:00,72,8
2017-05-09 13:36:00,73,9
2017-05-09 13:44:00,65,0
2017-05-09 13:52:00,64,1
2017-05-09 14:00:00,48,7
2017-05-09 14:08:00,69,5
2017-05-09 14:16:00,70,3
2017-05-09 14:24:00,85,8
2017-05-09 14:32:00,76,1
2017-05-09 14:40:00,78,7
2017-05-09 14:48:00,82,3
2017-05-09 14:56:00,92,8
2017-05-09 15:04:00,58,3
2017-05-09 15:12:00,57,5
2017-05-09 15:20:00,55,5
2017-05-09 15:28:00,74,4
2017-05-09 15:36:00,100,3
2017-05-09 15:44:00,66,7
2017-05-09 15:52:00,49,5
2017-05-09 16:00:00,73,1
2017-05-09 16:08:00,68,0
2017-05-09 16:16:00,64,3
2017-05-09 16:24:00,54,1
2017-05-09 16:32:00,59,0
2017-05-09 16:40:00,80,1
2017-05-09 16:48:00,75,8
2017-05-09 16:56:00,82,3
2017-05-09 17:04:00,56,1
2017-05-09 17:12:00,67,4
2017-05-09 17:20:00,66,7
2017-05-09 17:28:00,83,3
2017-05-09 17:36:00,52,1
2017-05-09 17:44:00,60,0
2017-05-09 17:52:00,88,0
2017-05-09 18:00:00,61,6
2017-05-09 18:08:00,77,0
2017-05-09 18:16:00,64,4
2017-05-09 18:24:00,63,7
2017-05-09 18:32:00,63,4
2017-05-09 18:40:00,57,1
2017-05-09 18:48:00,59,1
2017-05-09 18:56:00,59,3
2017-05-09 19:04:00,62,7
