date,ripple,xrp
2018-02-13 11:28:00,52,19
2018-02-13 11:36:00,75,9
2018-02-13 11:44:00,37,5
2018-02-13 11:52:00,50,14
2018-02-13 12:00:00,32,9
2018-02-13 12:08:00,50,14
2018-02-13 12:16:00,35,13
2018-02-13 12:24:00,44,4
2018-02-13 12:32:00,34,9
2018-02-13 12:40:00,55,4
2018-02-13 12:48:00,63,4
2018-02-13 12:56:00,33,8
2018-02-13 13:04:00,41,4
2018-02-13 13:12:00,48,8
2018-02-13 13:20:00,48,8
2018-02-13 13:28:00,60,12
2018-02-13 13:36:00,35,24
2018-02-13 13:44:00,43,4
2018-02-13 13:52:00,62,15
2018-02-13 14:00:00,35,4
2018-02-13 14:08:00,53,19
2018-02-13 14:16:00,49,8
2018-02-13 14:24:00,57,11
2018-02-13 14:32:00,45,19
2018-02-13 14:40:00,34,26
2018-02-13 14:48:00,44,15
2018-02-13 14:56:00,59,15
2018-02-13 15:04:00,48,11
2018-02-13 15:12:00,44,18
2018-02-13 15:20:00,52,7
2018-02-13 15:28:00,33,15
2018-02-13 15:36:00,74,7
2018-02-13 15:44:00,59,7
2018-02-13 15:52:00,40,11
2018-02-13 16:00:00,44,11
2018-02-13 16:08:00,48,4
2018-02-13 16:16:00,88,18
2018-02-13 16:24:00,48,15
2018-02-13 16:32:00,60,7
2018-02-13 16:40:00,37,4
2018-02-13 16:48:00,64,11
2018-02-13 16:56:00,42,11
2018-02-13 17:04:00,76,8
2018-02-13 17:12:00,53,11
2018-02-13 17:20:00,57,8
2018-02-13 17:28:00,50,8
2018-02-13 17:36:00,46,19
2018-02-13 17:44:00,23,15
2018-02-13 17:52:00,51,4
2018-02-13 18:00:00,47,16
2018-02-13 18:08:00,51,0
2018-02-13 18:16:00,20,16
2018-02-13 18:24:00,71,0
2018-02-13 18:32:00,51,12
2018-02-13 18:40:00,56,4
2018-02-13 18:48:00,48,16
2018-02-13 18:56:00,45,12
2018-02-13 19:04:00,53,16
2018-02-13 19:12:00,45,4
2018-02-13 19:20:00,87,4
2018-02-13 19:28:00,62,16
2018-02-13 19:36:00,54,8
2018-02-13 19:44:00,37,29
2018-02-13 19:52:00,42,8
2018-02-13 20:00:00,67,17
2018-02-13 20:08:00,47,9
2018-02-13 20:16:00,86,26
2018-02-13 20:24:00,48,13
2018-02-13 20:32:00,43,17
2018-02-13 20:40:00,57,9
2018-02-13 20:48:00,40,18
2018-02-13 20:56:00,63,5
2018-02-13 21:04:00,68,9
2018-02-13 21:12:00,42,9
2018-02-13 21:20:00,47,9
2018-02-13 21:28:00,71,19
2018-02-13 21:36:00,38,9
2018-02-13 21:44:00,59,0
2018-02-13 21:52:00,55,10
2018-02-13 22:00:00,72,21
2018-02-13 22:08:00,37,21
2018-02-13 22:16:00,54,16
2018-02-13 22:24:00,66,27
2018-02-13 22:32:00,84,22
2018-02-13 22:40:00,74,17
2018-02-13 22:48:00,58,6
2018-02-13 22:56:00,36,12
2018-02-13 23:04:00,91,18
2018-02-13 23:12:00,61,6
2018-02-13 23:20:00,56,13
2018-02-13 23:28:00,51,13
2018-02-13 23:36:00,32,19
2018-02-13 23:44:00,45,6
2018-02-13 23:52:00,71,26
2018-02-14 00:00:00,20,33
2018-02-14 00:00:00,18,30
2018-02-14 00:08:00,48,12
2018-02-14 00:16:00,37,24
2018-02-14 00:24:00,54,6
2018-02-14 00:32:00,49,12
2018-02-14 00:40:00,24,12
2018-02-14 00:48:00,36,12
2018-02-14 00:56:00,30,6
2018-02-14 01:04:00,36,6
2018-02-14 01:12:00,30,6
2018-02-14 01:20:00,72,30
2018-02-14 01:28:00,42,18
2018-02-14 01:36:00,18,6
2018-02-14 01:44:00,48,18
2018-02-14 01:52:00,42,18
2018-02-14 02:00:00,24,12
2018-02-14 02:08:00,42,18
2018-02-14 02:16:00,49,6
2018-02-14 02:24:00,31,6
2018-02-14 02:32:00,42,0
2018-02-14 02:40:00,43,12
2018-02-14 02:48:00,31,25
2018-02-14 02:56:00,32,0
2018-02-14 03:04:00,48,18
2018-02-14 03:12:00,49,30
2018-02-14 03:20:00,49,12
2018-02-14 03:28:00,37,19
2018-02-14 03:36:00,68,6
2018-02-14 03:44:00,100,6
2018-02-14 03:52:00,45,26
2018-02-14 04:00:00,45,39
2018-02-14 04:08:00,52,0
2018-02-14 04:16:00,39,13
