date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-12 13:04:00,49,2,0,18,33,18,0,13,0,38,27,0,0,0,23,43,0,31,0,0,0,0
2018-02-12 13:12:00,46,3,0,37,83,7,0,0,0,0,54,0,19,57,23,28,0,30,30,0,0,0
2018-02-12 13:20:00,52,3,36,18,53,7,0,13,0,0,53,7,0,0,38,28,0,60,15,0,0,0
2018-02-12 13:28:00,48,2,18,54,32,25,0,0,0,0,40,0,0,75,0,14,0,30,15,0,0,56
2018-02-12 13:36:00,45,3,0,53,56,14,0,0,0,0,20,0,0,0,15,14,0,44,15,0,0,56
2018-02-12 13:44:00,44,3,0,71,73,14,0,13,0,0,65,6,0,55,45,27,0,29,15,0,0,0
2018-02-12 13:52:00,40,1,35,70,38,21,0,25,0,18,19,0,0,0,37,27,0,14,0,0,0,0
2018-02-12 14:00:00,54,4,0,0,62,10,0,0,0,0,45,0,0,18,15,40,0,14,14,0,0,0
2018-02-12 14:08:00,49,3,17,69,44,10,0,25,0,35,31,0,18,72,22,26,0,43,28,0,0,0
2018-02-12 14:16:00,51,1,0,51,57,13,0,0,0,17,69,13,0,36,36,52,0,0,0,0,0,0
2018-02-12 14:24:00,48,3,0,34,80,17,0,25,0,0,31,0,0,0,36,39,0,28,56,0,0,0
2018-02-12 14:32:00,53,3,17,34,57,13,0,24,0,17,68,0,18,53,14,39,0,42,14,0,0,0
2018-02-12 14:40:00,50,3,0,0,63,20,0,0,0,17,74,12,0,18,50,13,0,28,14,0,0,0
2018-02-12 14:48:00,52,1,0,17,82,20,0,12,0,17,55,6,0,0,21,13,0,14,0,0,0,0
2018-02-12 14:56:00,49,1,0,67,56,13,0,0,0,0,74,6,35,0,28,0,0,14,42,0,0,0
2018-02-12 15:04:00,50,1,17,17,82,33,0,12,0,0,43,0,17,17,35,13,0,70,14,0,0,0
2018-02-12 15:12:00,45,2,17,50,72,20,0,24,0,17,49,0,17,35,56,51,0,0,0,0,0,0
2018-02-12 15:20:00,50,2,17,17,85,16,0,12,0,17,49,0,17,35,28,13,0,0,14,0,0,0
2018-02-12 15:28:00,56,2,33,100,79,23,0,0,0,17,37,0,0,0,35,13,0,14,0,0,0,0
2018-02-12 15:36:00,48,4,33,0,69,13,0,24,0,34,43,18,17,0,21,13,0,28,14,0,0,0
2018-02-12 15:44:00,48,1,0,33,69,23,0,12,0,0,30,6,17,0,7,26,0,0,0,0,0,0
2018-02-12 15:52:00,62,2,33,33,55,16,0,0,0,51,55,6,0,86,21,13,0,14,27,0,0,52
2018-02-12 16:00:00,50,3,0,17,52,7,0,12,0,34,43,12,0,35,35,13,0,14,0,0,0,0
2018-02-12 16:08:00,48,3,33,0,59,7,0,48,0,17,37,6,0,17,7,26,26,14,0,0,0,0
2018-02-12 16:16:00,46,3,17,17,33,13,0,36,0,17,43,24,0,17,21,38,0,0,14,0,0,52
2018-02-12 16:24:00,50,2,33,17,39,7,0,12,0,0,55,6,0,35,14,0,0,28,0,0,0,0
2018-02-12 16:32:00,50,3,17,17,53,13,0,24,0,17,25,6,17,17,28,13,0,28,0,0,0,0
2018-02-12 16:40:00,54,3,0,33,69,20,0,0,0,0,25,6,35,17,21,13,0,0,14,0,0,0
2018-02-12 16:48:00,48,3,0,84,69,20,0,12,0,34,43,12,18,0,14,39,0,14,0,0,0,53
2018-02-12 16:56:00,51,4,17,17,50,23,0,0,0,17,25,6,0,0,14,13,0,14,14,0,0,0
2018-02-12 17:04:00,55,2,51,17,67,23,0,12,0,0,56,6,18,0,29,13,0,71,28,0,0,0
2018-02-12 17:12:00,54,1,0,34,57,10,0,25,0,0,38,0,36,0,22,13,0,0,0,0,0,0
2018-02-12 17:20:00,45,3,0,17,64,10,0,0,0,0,44,0,36,0,7,53,13,14,0,0,0,0
2018-02-12 17:28:00,50,3,0,0,71,7,0,0,0,0,38,0,36,0,14,0,13,14,0,0,0,0
2018-02-12 17:36:00,49,2,0,35,72,7,0,12,0,18,38,0,0,18,15,13,0,43,58,0,0,0
2018-02-12 17:44:00,48,2,0,17,58,21,0,25,0,18,45,6,0,18,7,27,0,0,0,0,0,0
2018-02-12 17:52:00,51,2,0,0,79,10,0,13,0,36,39,6,18,0,15,41,0,44,15,0,0,0
2018-02-12 18:00:00,50,2,35,18,52,21,0,26,0,0,39,7,0,18,22,27,0,29,29,0,0,0
2018-02-12 18:08:00,50,2,0,18,52,17,0,13,0,0,52,7,19,19,7,55,14,44,0,0,0,0
2018-02-12 18:16:00,53,3,18,36,28,18,0,13,0,55,53,7,0,0,30,41,0,15,0,0,0,0
2018-02-12 18:24:00,53,2,18,0,57,18,0,13,0,0,40,0,0,0,8,42,0,15,0,0,0,56
2018-02-12 18:32:00,58,2,0,72,57,11,0,26,0,18,47,7,0,0,8,28,0,15,30,0,0,57
2018-02-12 18:40:00,51,1,0,54,71,11,0,0,0,0,26,7,19,19,0,28,0,30,15,0,0,56
2018-02-12 18:48:00,49,2,0,18,75,25,0,13,0,18,40,7,19,0,8,14,0,15,0,0,0,0
2018-02-12 18:56:00,44,2,0,73,54,18,0,13,0,0,27,0,0,0,0,28,0,46,15,0,0,0
2018-02-12 19:04:00,47,2,0,18,36,11,0,13,0,0,20,7,0,0,23,14,0,15,0,0,0,0
2018-02-12 19:12:00,53,1,0,37,47,22,0,27,0,19,47,0,0,19,8,14,0,31,0,0,0,0
2018-02-12 19:20:00,50,1,0,37,44,15,0,13,0,0,34,0,19,0,0,14,0,62,62,0,0,0
2018-02-12 19:28:00,46,3,0,37,69,11,0,40,0,19,27,0,0,19,23,28,0,31,0,0,0,0
2018-02-12 19:36:00,48,2,0,56,59,4,0,0,0,19,41,7,39,20,8,14,0,0,0,0,0,0
2018-02-12 19:44:00,48,4,0,19,44,18,0,14,0,38,41,7,0,20,16,0,0,47,16,0,0,0
2018-02-12 19:52:00,49,2,19,0,33,11,0,0,0,19,42,0,0,0,0,29,0,0,0,0,0,0
