date,bitcoin,btc,etherium,etc
2018-05-01 04:48:00,81,4,0,0
2018-05-01 04:56:00,70,2,0,0
2018-05-01 05:04:00,80,4,0,0
2018-05-01 05:12:00,86,2,0,0
2018-05-01 05:20:00,94,2,0,33
2018-05-01 05:28:00,81,0,0,0
2018-05-01 05:36:00,59,4,32,32
2018-05-01 05:44:00,56,4,0,32
2018-05-01 05:52:00,75,10,0,0
2018-05-01 06:00:00,83,6,31,31
2018-05-01 06:08:00,62,2,0,0
2018-05-01 06:16:00,57,2,0,0
2018-05-01 06:24:00,90,2,0,29
2018-05-01 06:32:00,50,6,0,0
2018-05-01 06:40:00,74,7,0,0
2018-05-01 06:48:00,55,2,0,0
2018-05-01 06:56:00,59,7,0,27
2018-05-01 07:04:00,67,3,0,27
2018-05-01 07:12:00,36,2,27,27
2018-05-01 07:20:00,76,5,0,0
2018-05-01 07:28:00,86,9,0,0
2018-05-01 07:36:00,64,7,0,26
2018-05-01 07:44:00,67,2,0,0
2018-05-01 07:52:00,55,0,0,26
2018-05-01 08:00:00,67,5,0,26
2018-05-01 08:08:00,43,2,0,26
2018-05-01 08:16:00,55,0,0,26
2018-05-01 08:24:00,58,8,0,0
2018-05-01 08:32:00,69,3,25,0
2018-05-01 08:40:00,57,0,0,0
2018-05-01 08:48:00,65,0,0,50
2018-05-01 08:56:00,77,2,0,0
2018-05-01 09:04:00,53,2,0,100
2018-05-01 09:12:00,61,8,0,25
2018-05-01 09:20:00,49,3,0,0
2018-05-01 09:28:00,60,2,24,0
2018-05-01 09:36:00,64,2,0,24
2018-05-01 09:44:00,49,3,0,0
2018-05-01 09:52:00,68,11,0,24
2018-05-01 10:00:00,65,0,0,0
2018-05-01 10:08:00,65,0,0,49
2018-05-01 10:16:00,84,0,0,0
2018-05-01 10:24:00,62,3,0,24
2018-05-01 10:32:00,66,3,0,24
2018-05-01 10:40:00,63,0,0,0
2018-05-01 10:48:00,57,4,0,0
2018-05-01 10:56:00,61,3,0,46
2018-05-01 11:04:00,53,3,23,0
2018-05-01 11:12:00,56,1,0,0
2018-05-01 11:20:00,65,3,0,0
2018-05-01 11:28:00,79,1,0,65
2018-05-01 11:36:00,56,5,22,64
2018-05-01 11:44:00,85,11,0,21
2018-05-01 11:52:00,73,3,21,21
2018-05-01 12:00:00,65,1,0,21
2018-05-01 12:08:00,70,3,0,0
2018-05-01 12:16:00,56,3,0,40
2018-05-01 12:24:00,74,11,0,40
2018-05-01 12:32:00,88,3,0,20
2018-05-01 12:40:00,80,1,0,0
2018-05-01 12:48:00,72,1,0,19
2018-05-01 12:56:00,63,4,0,19
2018-05-01 13:04:00,72,5,0,19
2018-05-01 13:12:00,62,2,0,0
2018-05-01 13:20:00,65,2,18,36
2018-05-01 13:28:00,76,0,0,20
2018-05-01 13:36:00,62,9,0,0
2018-05-01 13:44:00,68,0,0,0
2018-05-01 13:52:00,82,1,0,18
2018-05-01 14:00:00,78,7,0,18
2018-05-01 14:08:00,83,3,0,70
2018-05-01 14:16:00,62,2,0,35
2018-05-01 14:24:00,96,2,0,0
2018-05-01 14:32:00,71,3,0,18
2018-05-01 14:40:00,69,3,0,0
2018-05-01 14:48:00,75,2,0,0
2018-05-01 14:56:00,75,2,0,0
2018-05-01 15:04:00,69,7,0,0
2018-05-01 15:12:00,75,3,0,53
2018-05-01 15:20:00,67,3,0,35
2018-05-01 15:28:00,57,2,0,0
2018-05-01 15:36:00,70,4,0,35
2018-05-01 15:44:00,82,0,18,18
2018-05-01 15:52:00,72,1,0,17
2018-05-01 16:00:00,68,6,0,35
2018-05-01 16:08:00,56,0,0,52
2018-05-01 16:16:00,83,1,0,18
2018-05-01 16:24:00,76,6,0,36
2018-05-01 16:32:00,69,5,18,37
2018-05-01 16:40:00,55,1,0,0
2018-05-01 16:48:00,76,1,0,18
2018-05-01 16:56:00,75,5,0,0
2018-05-01 17:04:00,70,1,0,0
2018-05-01 17:12:00,60,1,0,0
2018-05-01 17:20:00,78,3,0,0
2018-05-01 17:28:00,64,0,18,0
2018-05-01 17:36:00,68,5,0,36
2018-05-01 17:44:00,71,3,0,18
2018-05-01 17:52:00,85,1,0,0
2018-05-01 18:00:00,70,1,0,18
2018-05-01 18:08:00,60,0,0,0
2018-05-01 18:16:00,66,6,0,0
2018-05-01 18:24:00,78,1,0,36
2018-05-01 18:32:00,64,6,0,0
2018-05-01 18:40:00,72,3,0,18
2018-05-01 18:48:00,60,3,0,18
2018-05-01 18:56:00,57,2,0,0
2018-05-01 19:04:00,55,2,0,19
2018-05-01 19:12:00,56,2,20,0
2018-05-01 19:20:00,68,4,0,0
2018-05-01 19:28:00,64,2,0,18
2018-05-01 19:36:00,51,1,18,37
2018-05-01 19:44:00,65,6,0,37
2018-05-01 19:52:00,64,5,0,0
2018-05-01 20:00:00,67,1,20,0
2018-05-01 20:08:00,50,3,0,0
2018-05-01 20:16:00,60,1,0,20
2018-05-01 20:24:00,68,0,0,21
2018-05-01 20:32:00,61,0,0,0
2018-05-01 20:40:00,62,1,0,0
2018-05-01 20:48:00,65,1,21,21
2018-05-01 20:56:00,55,3,0,21
2018-05-01 21:04:00,73,1,0,0
2018-05-01 21:12:00,76,0,0,0
2018-05-01 21:20:00,56,4,0,23
2018-05-01 21:28:00,78,2,24,0
2018-05-01 21:36:00,90,3,0,0
2018-05-01 21:44:00,77,2,25,25
2018-05-01 21:52:00,82,3,0,51
2018-05-01 22:00:00,68,0,0,27
2018-05-01 22:08:00,70,2,0,0
2018-05-01 22:16:00,90,0,0,55
2018-05-01 22:24:00,57,4,0,0
2018-05-01 22:32:00,93,4,0,0
2018-05-01 22:40:00,81,6,29,58
2018-05-01 22:48:00,69,6,0,0
2018-05-01 22:56:00,54,4,0,29
2018-05-01 23:04:00,77,2,0,30
2018-05-01 23:12:00,58,4,0,0
2018-05-01 23:20:00,68,6,0,30
2018-05-01 23:28:00,56,0,0,30
2018-05-01 23:36:00,75,4,0,31
2018-05-01 23:44:00,74,2,0,0
2018-05-01 23:52:00,57,4,0,0
2018-05-02 00:00:00,80,8,0,0
2018-05-02 00:00:00,67,6,0,0
2018-05-02 00:08:00,57,2,0,0
2018-05-02 00:16:00,48,3,0,0
2018-05-02 00:24:00,67,2,0,0
2018-05-02 00:32:00,57,3,0,0
2018-05-02 00:40:00,62,0,0,0
2018-05-02 00:48:00,51,0,0,70
2018-05-02 00:56:00,50,6,0,0
2018-05-02 01:04:00,57,3,0,0
2018-05-02 01:12:00,54,1,34,34
2018-05-02 01:20:00,52,3,0,35
2018-05-02 01:28:00,54,0,0,0
