date,bitcoin,btc,etherium,etc
2018-04-29 01:28:00,68,2,0,50
2018-04-29 01:36:00,50,2,0,0
2018-04-29 01:44:00,73,0,0,0
2018-04-29 01:52:00,55,6,0,0
2018-04-29 02:00:00,43,2,0,0
2018-04-29 02:08:00,61,0,0,50
2018-04-29 02:16:00,47,0,0,0
2018-04-29 02:24:00,70,2,0,99
2018-04-29 02:32:00,65,8,0,0
2018-04-29 02:40:00,51,2,0,0
2018-04-29 02:48:00,63,0,0,50
2018-04-29 02:56:00,58,2,0,0
2018-04-29 03:04:00,66,4,49,0
2018-04-29 03:12:00,63,4,49,50
2018-04-29 03:20:00,89,6,0,0
2018-04-29 03:28:00,90,4,0,0
2018-04-29 03:36:00,69,2,0,0
2018-04-29 03:44:00,52,2,0,0
2018-04-29 03:52:00,44,0,0,0
2018-04-29 04:00:00,57,6,0,0
2018-04-29 04:08:00,81,0,0,0
2018-04-29 04:16:00,70,4,0,0
2018-04-29 04:24:00,43,2,0,0
2018-04-29 04:32:00,78,2,51,52
2018-04-29 04:40:00,66,6,0,0
2018-04-29 04:48:00,44,4,100,51
2018-04-29 04:56:00,38,2,0,0
2018-04-29 05:04:00,66,6,0,0
2018-04-29 05:12:00,58,2,0,0
2018-04-29 05:20:00,70,2,0,0
2018-04-29 05:28:00,30,0,0,0
2018-04-29 05:36:00,51,2,0,50
2018-04-29 05:44:00,43,0,0,0
2018-04-29 05:52:00,46,9,47,97
2018-04-29 06:00:00,63,8,0,0
2018-04-29 06:08:00,55,5,0,0
2018-04-29 06:16:00,57,4,0,0
2018-04-29 06:24:00,60,5,45,0
2018-04-29 06:32:00,59,5,0,0
2018-04-29 06:40:00,58,5,0,0
2018-04-29 06:48:00,51,4,0,0
2018-04-29 06:56:00,51,0,42,0
2018-04-29 07:04:00,54,2,0,83
2018-04-29 07:12:00,36,2,0,0
2018-04-29 07:20:00,65,2,0,0
2018-04-29 07:28:00,64,5,0,42
2018-04-29 07:36:00,46,6,0,0
2018-04-29 07:44:00,50,2,0,0
2018-04-29 07:52:00,58,0,0,0
2018-04-29 08:00:00,46,0,0,0
2018-04-29 08:08:00,50,0,0,40
2018-04-29 08:16:00,47,3,0,0
2018-04-29 08:24:00,43,2,0,40
2018-04-29 08:32:00,49,3,0,0
2018-04-29 08:40:00,51,5,0,0
2018-04-29 08:48:00,35,3,0,0
2018-04-29 08:56:00,61,0,0,0
2018-04-29 09:04:00,49,6,0,0
2018-04-29 09:12:00,66,5,0,0
2018-04-29 09:20:00,29,3,0,39
2018-04-29 09:28:00,48,2,0,0
2018-04-29 09:36:00,63,2,0,39
2018-04-29 09:44:00,35,6,0,0
2018-04-29 09:52:00,43,2,0,0
2018-04-29 10:00:00,43,0,0,0
2018-04-29 10:08:00,32,0,0,0
2018-04-29 10:16:00,42,6,0,39
2018-04-29 10:24:00,54,0,0,0
2018-04-29 10:32:00,51,3,0,76
2018-04-29 10:40:00,48,3,0,0
2018-04-29 10:48:00,47,3,0,37
2018-04-29 10:56:00,50,3,0,0
2018-04-29 11:04:00,42,1,0,0
2018-04-29 11:12:00,51,7,0,0
2018-04-29 11:20:00,32,6,0,0
2018-04-29 11:28:00,43,1,0,0
2018-04-29 11:36:00,43,6,0,0
2018-04-29 11:44:00,44,1,0,0
2018-04-29 11:52:00,47,4,0,0
2018-04-29 12:00:00,57,3,0,34
2018-04-29 12:08:00,41,5,0,0
2018-04-29 12:16:00,53,1,0,67
2018-04-29 12:24:00,47,8,0,68
2018-04-29 12:32:00,55,1,0,0
2018-04-29 12:40:00,54,0,0,0
2018-04-29 12:48:00,41,1,0,0
2018-04-29 12:56:00,70,1,0,64
2018-04-29 13:04:00,67,1,0,32
2018-04-29 13:12:00,39,7,31,0
2018-04-29 13:20:00,53,5,30,31
2018-04-29 13:28:00,54,2,30,31
2018-04-29 13:36:00,42,1,0,0
2018-04-29 13:44:00,47,4,0,0
2018-04-29 13:52:00,46,2,0,30
2018-04-29 14:00:00,55,5,0,29
2018-04-29 14:08:00,44,2,0,0
2018-04-29 14:16:00,66,1,0,30
2018-04-29 14:24:00,58,6,0,29
2018-04-29 14:32:00,40,0,0,0
2018-04-29 14:40:00,49,1,0,0
2018-04-29 14:48:00,58,0,0,28
2018-04-29 14:56:00,50,1,0,0
2018-04-29 15:04:00,34,1,0,29
2018-04-29 15:12:00,42,2,0,0
2018-04-29 15:20:00,50,0,0,0
2018-04-29 15:28:00,56,1,0,0
2018-04-29 15:36:00,46,1,28,28
2018-04-29 15:44:00,46,4,0,0
2018-04-29 15:52:00,47,0,0,28
2018-04-29 16:00:00,38,2,0,57
2018-04-29 16:08:00,56,1,0,0
2018-04-29 16:16:00,48,2,0,28
2018-04-29 16:24:00,43,0,28,56
2018-04-29 16:32:00,40,2,0,0
2018-04-29 16:40:00,48,3,0,0
2018-04-29 16:48:00,66,1,27,56
2018-04-29 16:56:00,54,3,0,0
2018-04-29 17:04:00,41,3,0,28
2018-04-29 17:12:00,49,3,0,0
2018-04-29 17:20:00,40,4,0,0
2018-04-29 17:28:00,55,2,0,0
2018-04-29 17:36:00,45,0,0,29
2018-04-29 17:44:00,46,1,0,0
2018-04-29 17:52:00,52,6,0,28
2018-04-29 18:00:00,45,3,28,57
2018-04-29 18:08:00,47,2,0,57
2018-04-29 18:16:00,33,2,0,0
2018-04-29 18:24:00,43,2,0,30
2018-04-29 18:32:00,46,1,0,0
2018-04-29 18:40:00,44,0,0,0
2018-04-29 18:48:00,59,3,0,0
2018-04-29 18:56:00,43,0,0,0
2018-04-29 19:04:00,39,2,0,0
2018-04-29 19:12:00,33,1,0,0
2018-04-29 19:20:00,57,1,0,0
2018-04-29 19:28:00,40,2,0,0
2018-04-29 19:36:00,52,0,0,31
2018-04-29 19:44:00,45,1,0,0
2018-04-29 19:52:00,39,1,30,31
2018-04-29 20:00:00,47,4,0,0
2018-04-29 20:08:00,62,4,0,33
2018-04-29 20:16:00,49,5,0,66
2018-04-29 20:24:00,48,4,0,0
2018-04-29 20:32:00,53,0,0,0
2018-04-29 20:40:00,38,0,0,0
2018-04-29 20:48:00,57,0,34,0
2018-04-29 20:56:00,49,4,0,0
2018-04-29 21:04:00,64,3,0,0
2018-04-29 21:12:00,59,1,0,37
2018-04-29 21:20:00,59,1,0,75
2018-04-29 21:28:00,60,1,37,0
2018-04-29 21:36:00,54,2,0,0
2018-04-29 21:44:00,62,2,0,0
2018-04-29 21:52:00,66,6,0,0
2018-04-29 22:00:00,100,3,0,83
2018-04-29 22:08:00,87,2,0,43
2018-04-29 22:16:00,52,5,0,43
2018-04-29 22:24:00,50,2,0,0
2018-04-29 22:32:00,72,0,0,0
2018-04-29 22:40:00,64,0,0,45
2018-04-29 22:48:00,59,4,0,0
2018-04-29 22:56:00,66,5,0,0
2018-04-29 23:04:00,73,2,0,92
2018-04-29 23:12:00,68,7,0,47
2018-04-29 23:20:00,59,0,46,47
2018-04-29 23:28:00,72,2,0,94
2018-04-29 23:36:00,84,4,0,0
2018-04-29 23:44:00,67,0,0,0
2018-04-29 23:52:00,51,0,91,0
2018-04-30 00:00:00,67,2,0,47
2018-04-30 00:00:00,61,2,0,25
2018-04-30 00:08:00,62,3,0,25
2018-04-30 00:16:00,64,0,0,0
2018-04-30 00:24:00,58,0,0,24
2018-04-30 00:32:00,69,3,0,24
2018-04-30 00:40:00,52,5,0,24
2018-04-30 00:48:00,53,3,24,24
2018-04-30 00:56:00,62,0,0,0
2018-04-30 01:04:00,50,0,0,0
2018-04-30 01:12:00,66,2,0,23
2018-04-30 01:20:00,58,2,0,23
2018-04-30 01:28:00,63,5,23,0
2018-04-30 01:36:00,50,5,0,47
2018-04-30 01:44:00,59,10,0,0
2018-04-30 01:52:00,48,2,0,46
2018-04-30 02:00:00,69,3,0,0
2018-04-30 02:08:00,58,5,24,47
2018-04-30 02:16:00,66,0,24,0
2018-04-30 02:24:00,62,3,0,0
2018-04-30 02:32:00,73,2,0,47
2018-04-30 02:40:00,61,3,0,48
2018-04-30 02:48:00,71,5,24,0
2018-04-30 02:56:00,67,3,24,0
2018-04-30 03:04:00,68,2,0,24
2018-04-30 03:12:00,54,3,0,0
2018-04-30 03:20:00,78,0,0,24
2018-04-30 03:28:00,46,7,0,0
2018-04-30 03:36:00,69,5,0,25
2018-04-30 03:44:00,82,9,0,0
2018-04-30 03:52:00,57,5,0,0
2018-04-30 04:00:00,53,5,0,0
2018-04-30 04:08:00,67,7,0,100
2018-04-30 04:16:00,63,2,0,0
2018-04-30 04:24:00,53,2,0,25
2018-04-30 04:32:00,56,5,0,0
2018-04-30 04:40:00,70,2,0,0
2018-04-30 04:48:00,66,3,25,0
2018-04-30 04:56:00,60,7,0,24
2018-04-30 05:04:00,66,5,0,0
2018-04-30 05:12:00,97,8,0,0
2018-04-30 05:20:00,53,2,0,0
2018-04-30 05:28:00,61,6,23,23
2018-04-30 05:36:00,62,5,23,0
2018-04-30 05:44:00,41,5,0,0
2018-04-30 05:52:00,77,0,0,22
2018-04-30 06:00:00,68,5,0,0
2018-04-30 06:08:00,48,1,0,0
2018-04-30 06:16:00,45,6,0,0
2018-04-30 06:24:00,53,4,0,0
2018-04-30 06:32:00,76,1,0,0
2018-04-30 06:40:00,64,4,0,20
2018-04-30 06:48:00,53,3,0,20
2018-04-30 06:56:00,46,3,0,20
2018-04-30 07:04:00,59,3,0,39
2018-04-30 07:12:00,54,7,0,0
2018-04-30 07:20:00,52,4,0,39
2018-04-30 07:28:00,36,3,0,0
2018-04-30 07:36:00,48,3,0,0
2018-04-30 07:44:00,49,4,0,38
2018-04-30 07:52:00,48,5,19,0
2018-04-30 08:00:00,100,4,19,0
2018-04-30 08:08:00,50,1,0,19
2018-04-30 08:16:00,62,3,19,0
2018-04-30 08:24:00,50,3,0,18
2018-04-30 08:32:00,57,6,18,18
2018-04-30 08:40:00,51,3,0,0
2018-04-30 08:48:00,67,4,0,0
2018-04-30 08:56:00,44,4,0,73
2018-04-30 09:04:00,43,4,0,0
2018-04-30 09:12:00,44,4,0,53
2018-04-30 09:20:00,65,4,18,36
2018-04-30 09:28:00,49,5,0,18
2018-04-30 09:36:00,49,1,0,18
2018-04-30 09:44:00,55,2,0,18
2018-04-30 09:52:00,66,5,0,18
2018-04-30 10:00:00,49,5,0,35
2018-04-30 10:08:00,52,5,18,18
2018-04-30 10:16:00,55,2,0,53
2018-04-30 10:24:00,70,6,17,17
2018-04-30 10:32:00,60,0,0,17
2018-04-30 10:40:00,60,2,0,0
2018-04-30 10:48:00,68,3,0,16
2018-04-30 10:56:00,47,1,0,66
2018-04-30 11:04:00,50,3,0,50
2018-04-30 11:12:00,57,2,0,0
2018-04-30 11:20:00,58,3,0,32
2018-04-30 11:28:00,55,2,0,31
2018-04-30 11:36:00,54,3,0,0
2018-04-30 11:44:00,53,4,0,15
2018-04-30 11:52:00,59,1,0,45
2018-04-30 12:00:00,38,3,0,15
2018-04-30 12:08:00,44,1,0,30
2018-04-30 12:16:00,48,2,0,0
2018-04-30 12:24:00,56,5,0,44
2018-04-30 12:32:00,58,1,0,14
2018-04-30 12:40:00,58,5,0,14
2018-04-30 12:48:00,46,4,0,41
